run_id,condition,tutor_key,question_id,repeat,accuracy_coherence,guidance_no_solution,encouragement
gemini_flash__NP__passive__algebra_inequality,NP,gemini_flash,algebra_inequality,0,5,3,5
gemini_flash__NP__passive__algebra_inequality,NP,gemini_flash,algebra_inequality,1,5,3,5
gemini_flash__NP__passive__algebra_inequality,NP,gemini_flash,algebra_inequality,2,5,1,5
gemini_flash__NP__passive__probability_counters,NP,gemini_flash,probability_counters,0,5,1,4
gemini_flash__NP__passive__probability_counters,NP,gemini_flash,probability_counters,1,5,1,5
gemini_flash__NP__passive__probability_counters,NP,gemini_flash,probability_counters,2,5,1,5
claude_sonnet__NP__curious__probability_counters,NP,claude_sonnet,probability_counters,0,5,1,5
claude_sonnet__NP__curious__probability_counters,NP,claude_sonnet,probability_counters,1,5,1,5
claude_sonnet__NP__curious__probability_counters,NP,claude_sonnet,probability_counters,2,5,1,5
gemini_flash__NP__curious__algebra_inequality,NP,gemini_flash,algebra_inequality,0,5,3,5
gemini_flash__NP__curious__algebra_inequality,NP,gemini_flash,algebra_inequality,1,5,3,5
gemini_flash__NP__curious__algebra_inequality,NP,gemini_flash,algebra_inequality,2,5,3,5
gpt4o__BP__curious__algebra_inequality,BP,gpt4o,algebra_inequality,0,5,1,5
gpt4o__BP__curious__algebra_inequality,BP,gpt4o,algebra_inequality,1,5,1,5
gpt4o__BP__curious__algebra_inequality,BP,gpt4o,algebra_inequality,2,5,1,5
gemini_flash__BP__struggling__simultaneous_equations,BP,gemini_flash,simultaneous_equations,0,5,5,5
gemini_flash__BP__struggling__simultaneous_equations,BP,gemini_flash,simultaneous_equations,1,5,5,5
gemini_flash__BP__struggling__simultaneous_equations,BP,gemini_flash,simultaneous_equations,2,5,3,5
gemini_flash__BP__passive__compound_interest,BP,gemini_flash,compound_interest,0,5,3,5
gemini_flash__BP__passive__compound_interest,BP,gemini_flash,compound_interest,1,5,3,5
gemini_flash__BP__passive__compound_interest,BP,gemini_flash,compound_interest,2,5,3,5
gemini_flash__BP__curious__simultaneous_equations,BP,gemini_flash,simultaneous_equations,0,5,3,5
gemini_flash__BP__curious__simultaneous_equations,BP,gemini_flash,simultaneous_equations,1,5,3,5
gemini_flash__BP__curious__simultaneous_equations,BP,gemini_flash,simultaneous_equations,2,5,3,5
gemini_flash__EP__struggling__probability_counters,EP,gemini_flash,probability_counters,0,5,3,5
gemini_flash__EP__struggling__probability_counters,EP,gemini_flash,probability_counters,1,5,3,5
gemini_flash__EP__struggling__probability_counters,EP,gemini_flash,probability_counters,2,5,5,5
gemini_flash__EP__impulsive__probability_counters,EP,gemini_flash,probability_counters,0,5,5,5
gemini_flash__EP__impulsive__probability_counters,EP,gemini_flash,probability_counters,1,5,5,5
gemini_flash__EP__impulsive__probability_counters,EP,gemini_flash,probability_counters,2,5,5,5
gpt4o__EP__impulsive__compound_interest,EP,gpt4o,compound_interest,0,5,5,5
gpt4o__EP__impulsive__compound_interest,EP,gpt4o,compound_interest,1,5,5,5
gpt4o__EP__impulsive__compound_interest,EP,gpt4o,compound_interest,2,5,5,5
claude_sonnet__EP__struggling__compound_interest,EP,claude_sonnet,compound_interest,0,5,5,5
claude_sonnet__EP__struggling__compound_interest,EP,claude_sonnet,compound_interest,1,5,5,5
claude_sonnet__EP__struggling__compound_interest,EP,claude_sonnet,compound_interest,2,5,5,5
